epoch_utc,station,satellite,obs_range_m,obs_range_corrected_m,model_range_m,tropo_delay_m,com_correction_m,tide_radial_m,ocean_radial_m,shapiro_delay_m,residual_m,residual_mm,elevation_deg,elev_reported_deg,np2_file
2024-01-19T00:01:41.453364Z,7839,lageos2,8357409.666031238,8357403.488697455,7014474.280269271,6.414281300570493,0.251,0.06728525492492504,-0.00242383227713617,0.014052481912099497,1342929.2084281845,1342929208.4281845,42.497936030342345,,allsat_20240121.np2
2024-01-19T00:02:36.688364Z,7839,lageos2,8494380.807583084,8494374.630249262,7014474.280307543,6.414281339612148,0.251,0.06728406716024726,-0.002474571084365834,0.014052481912227844,1479900.3499417184,1479900349.9417183,42.49793603059168,,allsat_20240121.np2
2024-01-20T03:24:28.628264Z,7839,lageos2,6862794.290524953,6862788.113169885,7014474.307085136,6.414302585226108,0.251,0.04762970954193898,-0.011095743071260293,0.014052481995295841,-151686.1939152507,-151686193.91525072,42.49793604868353,,allsat_20240121.np2
2024-01-20T03:33:16.759164Z,7839,lageos2,6056851.61977587,6056845.442420574,7014474.307340632,6.414302813450211,0.251,0.04743970358809734,-0.011209321946712904,0.014052481996116672,-957628.8649200583,-957628864.9200583,42.49793604951361,,allsat_20240121.np2
2024-01-20T03:40:55.068064Z,7839,lageos2,5806174.726777757,5806168.549422296,7014474.307532547,6.414302978381881,0.251,0.04727418904884625,-0.011263219270649948,0.014052481996726028,-1208305.7581102513,-1208305758.1102512,42.497936049969745,,allsat_20240121.np2
2024-01-20T03:50:30.040064Z,7839,lageos2,6181723.195732679,6181717.018377056,7014474.307732906,6.414303140388433,0.251,0.04706571912767392,-0.011270301213952349,0.014052481997350902,-832757.2893558498,-832757289.3558499,42.49793605018378,,allsat_20240121.np2
2024-01-20T04:06:58.641864Z,7839,lageos2,8161481.588816643,8161475.4114608625,7014474.307968965,6.414303298437017,0.251,0.046705143488348984,-0.011120118459408274,0.0140524819980507,1147001.1034918977,1147001103.4918976,42.49793604959071,,allsat_20240121.np2
2024-01-21T09:47:42.504000Z,7941,lageos2,7031356.703040003,7031351.527485533,6541367.540937501,5.413542607701924,0.251,0.0037214043978122816,0.016004135662830092,0.013011862862145446,489983.9865480317,489983986.5480317,53.264761197538334,,allsat_20240121.np2
2024-01-21T09:49:47.304000Z,7941,lageos2,6946342.19151665,6946337.015962223,6541367.540892072,5.413542564570525,0.251,0.003637998371891943,0.016155440539329057,0.01301186286199496,404969.47507015057,404969475.07015055,53.264761196940576,,allsat_20240121.np2
2024-01-21T09:50:53.704000Z,7941,lageos2,6914153.712077273,6914148.536522868,6541367.54086896,5.413542542460997,0.251,0.0035936186951140508,0.016234626096129606,0.013011862861918208,372780.99565390777,372780995.6539078,53.2647611966294,,allsat_20240121.np2
2024-01-21T09:52:53.204000Z,7941,lageos2,6879605.813065078,6879600.637510711,6541367.540829239,5.413542504150486,0.251,0.0035137427464267883,0.016374808573619996,0.013011862861785921,338233.0966814719,338233096.68147194,53.26476119608152,,allsat_20240121.np2
2024-01-21T09:55:13.504000Z,7941,lageos2,6877849.834833513,6877844.659279189,6541367.540785712,5.413542461629758,0.251,0.0034199540031561253,0.01653553090276612,0.0130118628616403,336477.1184934769,336477118.49347687,53.264761195458405,,allsat_20240121.np2
2024-01-21T09:35:30.248114Z,8834,lageos2,7524087.588051367,7524080.963827332,7230365.956490016,6.86068933401744,0.251,-0.016133200330246723,0.013675783846116679,0.014534701903240837,293715.00733731594,293715007.3373159,38.46287208085025,,allsat_20240121.np2
2024-01-21T09:36:54.885936Z,8834,lageos2,7404894.133263069,7404887.509039102,7230365.956445858,6.860689265364011,0.251,-0.016177177036561165,0.013805111622194405,0.01453470190306749,174521.55259324424,174521552.59324425,38.462872080161254,,allsat_20240121.np2
2024-01-21T09:38:56.009284Z,8834,lageos2,7255366.11550573,7255359.49128186,7230365.956383965,6.8606891687955835,0.251,-0.01624012071554308,0.01398811040999489,0.014534701902824161,24993.5348978946,24993534.8978946,38.46287207918817,,allsat_20240121.np2
